author,sex,attestation,url,content,release_time,grade,num
你好我是泥头车,男,微博个人认证,//weibo.com/5882316869,#润百颜#找孙笑川那个晦气的死人代言和#intel 杨笠# 不是一个性质吗，真的太蠢了 ​,10月16日 22:36,0.062479135,1
商胖子Alpha,男,普通用户,//weibo.com/7409790407,#intel 杨笠#各位不觉得，难道女拳应该配钱给杨笠吗？！这把她坑的。。 2长沙 ​,04月03日 18:32,0.007279242,1
scopioncn,男,普通用户,//weibo.com/2545722447,//@阿龙哥BLOG:艾玛，我一颗单纯的小心脏啊~~~如果真是这样那就太险恶了，不得不相信但凡和男女性别相关的话题、性别歧视的话题，女拳们都打。大胆想象一下 #intel 杨笠# 事件仿佛就有女拳的影子 //@Meikonger:原来是这样！不过我就是来单纯反对二手烟的！//@科技有意思:直接复制海外模式啊//@sunwear:,04月01日 20:42,0.999999952,1
None,男,普通用户,//weibo.com/2545722447,#子午舆情观察# 卧槽，这就开始了，配方和味道很熟悉啊!所以我此前的判断一点都没错：成都火锅店事件本来就是它们的一个策划。控烟只不过是一个由头，它们的目的就是要借事搞事，矛头最终会指向执法机关、专政机关，指向体制（它们的意图在图八里已经表达的非常明显了）。它们这个群体既是极端女权（也即女拳），又有港毒倾向，而且还具有一定的邪教特质，请有关部门高度重视，高度警惕!抄送：@中国反邪教 @四川网警巡查执法 @成都网警巡查执法 收起全文d\n,04月01日 20:42,0.989155395,1
阿龙哥BLOG,男,微博个人认证,//weibo.com/1820001035,艾玛，我一颗单纯的小心脏啊~~~如果真是这样那就太险恶了，不得不相信但凡和男女性别相关的话题、性别歧视的话题，女拳们都打。大胆想象一下 #intel 杨笠# 事件仿佛就有女拳的影子 //@Meikonger:原来是这样！不过我就是来单纯反对二手烟的！//@科技有意思:直接复制海外模式啊//@sunwear:有内味儿了 ,04月01日 20:42,0.999999941,1
None,男,微博个人认证,//weibo.com/1820001035,#子午舆情观察# 卧槽，这就开始了，配方和味道很熟悉啊!所以我此前的判断一点都没错：成都火锅店事件本来就是它们的一个策划。控烟只不过是一个由头，它们的目的就是要借事搞事，矛头最终会指向执法机关、专政机关，指向体制（它们的意图在图八里已经表达的非常明显了）。它们这个群体既是极端女权（也即女拳），又有港毒倾向，而且还具有一定的邪教特质，请有关部门高度重视，高度警惕!抄送：@中国反邪教 @四川网警巡查执法 @成都网警巡查执法 收起全文d\n,04月01日 20:42,0.989155395,1
软萌圆本圆,男,普通用户,//weibo.com/5354279845,#intel 杨笠#无论你喜不喜欢杨笠，挺杨笠或者黑杨笠。不要购买11代intel桌面CPU，买AMD。多的钱喂鱼不好吗 ​,03月31日 19:36,0.878803558,1
阿龙哥BLOG,男,微博个人认证,//weibo.com/1820001035,#intel 杨笠# 回过头说 一个全球知名的CPU生产厂商，用一个饱受争议的女脱口秀演员代言产品，不合适，非常不合适。不管是品牌定位还是宣传效果，都是失败的，事实证明也是如此。我一直是这个观点，如果你说我自己对号入座了，你妹！！ ​,03月31日 10:02,0.775872077,1
我还很年轻的呢,男,普通用户,//weibo.com/5479734384,#intel 杨笠#网友这波要笑死我了，疯狂补刀intelAMD，yes！苏妈威武 ​​​,03月30日 09:19,0.73257516,1
自尊自爱的普通人,男,普通用户,//weibo.com/6873161162,#intel 杨笠#杨笠粉丝洗地喜欢避重就轻。杨笠母狗骂男人是垃圾，没有底线。这才是杨笠是母狗的核心原因 ​,03月28日 16:17,0.999739155,1
